cod;description;marca;url;imagem
336830;Combo Fortalecimento Capilar - Soro Vital Vello + Kit 100Timetros - 90 Capsulas;Ybera Paris;https://www.b2cstore.com.br/produto/combo-fortalecimento-capilar-soro-vital-vello-kit-100timetros-90-capsulas-150320?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/combo-fortalecimento-capilar-soro-vital-vello-kit-100timetros-90-capsulas-150320/336830.jpg
336852;Shampoo Coco Verde 300ml;Terra Coco;https://www.b2cstore.com.br/produto/shampoo-coco-verde-300ml-terra-coco-150342?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/shampoo-coco-verde-300ml-terra-coco-150342/336852.jpg
336901;Máscara Hidratante Manutenção Genoma 200g;Ybera Paris;https://www.b2cstore.com.br/produto/mascara-hidratante-manutencao-genoma-200g-ybera-paris-150391?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/mascara-hidratante-manutencao-genoma-200g-ybera-paris-150391/336901.jpg
336873;Condicionador Coco Verde 300g;Terra Coco;https://www.b2cstore.com.br/produto/condicionador-coco-verde-300g-terra-coco-150363?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/condicionador-coco-verde-300g-terra-coco-150363/336873.jpg
336816;100Tímetros Condicionador Antiqueda Capilar 300g;Fashion Gold;https://www.b2cstore.com.br/produto/100timetros-condicionador-antiqueda-capilar-300g-fashion-gold-150306?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/100timetros-condicionador-antiqueda-capilar-300g-fashion-gold-150306/336816-2.jpg
336969;KIT Cronograma Capilar com Shampoo 500ml Fashion Gold;KIT Cronograma Capilar com Shampoo 500ml Fashion Gold;https://www.b2cstore.com.br/produto/kit-cronograma-capilar-com-shampoo-500ml-fashion-gold-150454?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/kit-cronograma-capilar-com-shampoo-500ml-fashion-gold-150454/336969.jpg
336896;Máscara 2 em 1 Protect Control 250g;Fashion Gold;https://www.b2cstore.com.br/produto/mascara-2-em-1-protect-control-250g-fashion-gold-150386?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/mascara-2-em-1-protect-control-250g-fashion-gold-150386/336896.jpg
336864;Shampoo Protect Control 300ml;Fashion Gold;https://www.b2cstore.com.br/produto/shampoo-protect-control-300ml-fashion-gold-150354?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/shampoo-protect-control-300ml-fashion-gold-150354/336864.jpg
336802;Kit Manutenção Genoma 250ml/250g;Ybera Paris;https://www.b2cstore.com.br/produto/kit-manutencao-genoma-250ml-250g-ybera-paris-150292?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/kit-manutencao-genoma-250ml-250g-ybera-paris-150292/336802.jpg
336835;Combo Manutenção Coco Verde 300g/200g;Terra Coco;https://www.b2cstore.com.br/produto/combo-manutencao-coco-verde-300g-200g-terra-coco-150325?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/combo-manutencao-coco-verde-300g-200g-terra-coco-150325/336835.jpg
336801;Kit Manutenção Fashion Up 250ml/250g;Ybera Paris;https://www.b2cstore.com.br/produto/kit-manutencao-fashion-up-250ml-250g-ybera-paris-150291?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/kit-manutencao-fashion-up-250ml-250g-ybera-paris-150291/336801.jpg
336863;Shampoo Ortho Reconstrução Genoma 250ml;Ybera Paris;https://www.b2cstore.com.br/produto/shampoo-ortho-reconstrucao-genoma-250ml-ybera-paris-150353?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/shampoo-ortho-reconstrucao-genoma-250ml-ybera-paris-150353/336863.jpg
336828;Combo Escova Progressiva Fashion Gold 500g + Protect Poo 500g;Combo Escova Progressiva Fashion Gold 500g + Protect Poo 500g;https://www.b2cstore.com.br/produto/combo-escova-progressiva-fashion-gold-500g-protect-poo-500g-150318?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/combo-escova-progressiva-fashion-gold-500g-protect-poo-500g-150318/336828-3.jpg
336820;Água de Coco Capilar 300ml;Terra Coco;https://www.b2cstore.com.br/produto/agua-de-coco-capilar-300-ml-terra-coco-150310?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/agua-de-coco-capilar-300-ml-terra-coco-150310/336820-2.jpg
336868;Spray Memory Protect e Control 150ml;Fashion Gold;https://www.b2cstore.com.br/produto/spray-memory-protect-e-control-150ml-fashion-gold-150358?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/spray-memory-protect-e-control-150ml-fashion-gold-150358/336868-4.jpg
336902;Máscara Hidratação Profunda 200g Fashion Up;Ybera Paris;https://www.b2cstore.com.br/produto/mascara-hidratacao-profunda-200g-fashion-up-ybera-paris-150392?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/mascara-hidratacao-profunda-200g-fashion-up-ybera-paris-150392/336902.jpg
336844;Máscara Toda de Coco 1kg;Terra Coco;https://www.b2cstore.com.br/produto/mascara-toda-de-coco-1kg-terra-coco-150334?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/mascara-toda-de-coco-1kg-terra-coco-150334/336844.jpg
336856;Shampoo Isotônico Sulfato Free 1L;Terra Coco;https://www.b2cstore.com.br/produto/shampoo-isotonico-sulfato-free-1l-terra-coco-150346?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/shampoo-isotonico-sulfato-free-1l-terra-coco-150346/336856.jpg
336840;Combo Shampoo Isotônico e Máscara Toda de Coco;Terra Coco;https://www.b2cstore.com.br/produto/combo-shampoo-isotonico-e-mascara-toda-de-coco-terra-coco-150330?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/combo-shampoo-isotonico-e-mascara-toda-de-coco-terra-coco-150330/336840.jpg
336799;Kit Manutenção Discovery Express 250ml/250g;Ybera Paris;https://www.b2cstore.com.br/produto/kit-manutencao-discovery-express-250ml-250g-ybera-paris-150289?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/kit-manutencao-discovery-express-250ml-250g-ybera-paris-150289/336799.jpg
336819;Active Shape 60 Capsulas;Acquafit;https://www.b2cstore.com.br/produto/active-shape-60-capsulas-acquafit-150309?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/active-shape-60-capsulas-acquafit-150309/336819.jpg
336930;Rosa Floral Squeeze;Acquafit;https://www.b2cstore.com.br/produto/rosa-floral-squeeze-acquafit-150416?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/rosa-floral-squeeze-acquafit-150416/336930-1.jpg
336879;Condicionador Ortho Reconstrutor Genoma 250g;Ybera Paris;https://www.b2cstore.com.br/produto/condicionador-ortho-reconstrutor-genoma-250g-ybera-paris-150369?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/condicionador-ortho-reconstrutor-genoma-250g-ybera-paris-150369/336879.jpg
336811;Kit Manutenção Vertigo Purple 250ml/250g;Ybera Paris;https://www.b2cstore.com.br/produto/kit-manutencao-vertigo-purple-250ml-250g-ybera-paris-150301?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/kit-manutencao-vertigo-purple-250ml-250g-ybera-paris-150301/336811.jpg
336893;Leave-in Vegetal 500ml;Terra Coco;https://www.b2cstore.com.br/produto/leave-in-vegetal-500ml-terra-coco-150383?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/leave-in-vegetal-500ml-terra-coco-150383/336893.jpg
336788;Kit 100Timetros 90 Capsulas + PPC-600 Colágeno 60 capsulas;600 Colágeno 60 capsulas;https://www.b2cstore.com.br/produto/kit-100timetros-90-capsulas-ppc-600-colageno-60-capsulas-150278?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/kit-100timetros-90-capsulas-ppc-600-colageno-60-capsulas-150278/336788.jpg
336827;Combo Escova Progressiva Fashion Gold 300g + Protect Poo 300g;Combo Escova Progressiva Fashion Gold 300g + Protect Poo 300g;https://www.b2cstore.com.br/produto/combo-escova-progressiva-fashion-gold-300g-protect-poo-300g-150317?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/combo-escova-progressiva-fashion-gold-300g-protect-poo-300g-150317/336827-1.jpg
336807;Kit Manutenção Renew Oil 250ml/250g;Ybera Paris;https://www.b2cstore.com.br/produto/kit-manutencao-renew-oil-250ml-250g-ybera-paris-150297?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/kit-manutencao-renew-oil-250ml-250g-ybera-paris-150297/336807.jpg
336911;Creme Cicatrizante de Estrias Green Coffee 260ml;Ybera Paris;https://www.b2cstore.com.br/produto/creme-cicatrizante-de-estrias-green-coffee-260ml-ybera-paris-150397?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/creme-cicatrizante-de-estrias-green-coffee-260ml-ybera-paris-150397/336911.jpg
336797;Kit Manutenção Botulínica Capilar 250ml/250g;Ybera Paris;https://www.b2cstore.com.br/produto/kit-manutencao-botulinica-capilar-250ml-250g-ybera-paris-150287?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/kit-manutencao-botulinica-capilar-250ml-250g-ybera-paris-150287/336797.jpg
336883;Henna Para Sobrancelhas 2g;Fashion Gold Hennas:Castanho Médio;https://www.b2cstore.com.br/produto/henna-para-sohenna-para-sobrancelhas-2g-castanho-medio-fashion-gold-150373?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/henna-para-sohenna-para-sobrancelhas-2g-castanho-medio-fashion-gold-150373/336883.jpg
336866;Soro De Coco 500ml;Terra Coco;https://www.b2cstore.com.br/produto/soro-de-coco-500ml-terra-coco-150356?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/soro-de-coco-500ml-terra-coco-150356/336866.jpg
336927;Elementar Squeeze;Acquafit;https://www.b2cstore.com.br/produto/elementar-squeeze-acquafit-150413?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/elementar-squeeze-acquafit-150413/336927-1.jpg
336843;Máscara Polpa de Coco Verde 200g;Terra Coco;https://www.b2cstore.com.br/produto/mascara-polpa-de-coco-verde-200g-terra-coco-150333?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/mascara-polpa-de-coco-verde-200g-terra-coco-150333/336843.jpg
336967;Combo Cronograma Capilar + Óleo de Mirra 90ml;Fashion Gold;https://www.b2cstore.com.br/produto/combo-cronograma-capilar-oleo-de-mirra-90ml-fashion-gold-150452?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/combo-cronograma-capilar-oleo-de-mirra-90ml-fashion-gold-150452/336967-2.jpg
336932;Black Squeeze;Acquafit;https://www.b2cstore.com.br/produto/black-squeeze-acquafit-150418?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/black-squeeze-acquafit-150418/336932-1.jpg
336800;Kit Manutenção Fashion Up 250ml/250g + Máscara Hidratação Profunda 200g;Ybera Paris;https://www.b2cstore.com.br/produto/kit-manutencao-fashion-up-250ml-250g-mascara-hidratacao-profunda-200g-ybera-paris-150290?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/kit-manutencao-fashion-up-250ml-250g-mascara-hidratacao-profunda-200g-ybera-paris-150290/336800.jpg
336890;Kit Tratamento Cocada Capilar;Terra Coco;https://www.b2cstore.com.br/produto/kit-tratamento-cocada-capilar-terra-coco-150380?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/kit-tratamento-cocada-capilar-terra-coco-150380/336890.jpg
336860;Shampoo Manutenção Botulínica Capilar 250ml;Ybera Paris;https://www.b2cstore.com.br/produto/shampoo-manutencao-botulinica-capilar-250ml-ybera-paris-150350?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/shampoo-manutencao-botulinica-capilar-250ml-ybera-paris-150350/336860.jpg
336854;Shampoo Hidratante Redutor Fashion Up 250ml;Ybera Paris;https://www.b2cstore.com.br/produto/shampoo-hidratante-redutor-fashion-up-250ml-ybera-paris-150344?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/shampoo-hidratante-redutor-fashion-up-250ml-ybera-paris-150344/336854.jpg
336900;Máscara Hidratante Manutenção Botulínica 250g;Ybera Paris;https://www.b2cstore.com.br/produto/mascara-hidratante-manutencao-botulinica-250g-ybera-paris-150390?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/mascara-hidratante-manutencao-botulinica-250g-ybera-paris-150390/336900.jpg
336858;Shampoo Limpeza Protetora Trehalose Life's Flower 250ml;Ybera Paris;https://www.b2cstore.com.br/produto/shampoo-limpeza-protetora-trehalose-lifes-flower-250ml-ybera-paris-150348?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/shampoo-limpeza-protetora-trehalose-lifes-flower-250ml-ybera-paris-150348/336858.jpg
336882;Henna Para Sobrancelhas 2g;Fashion Gold Hennas: Castanho Escuro;https://www.b2cstore.com.br/produto/henna-para-sobrancelhas-2g-castanho-escuro-fashion-gold-150372?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/henna-para-sobrancelhas-2g-castanho-escuro-fashion-gold-150372/336882.jpg
336903;Máscara Nutritiva Renew Oil 250g;Ybera Paris;https://www.b2cstore.com.br/produto/mascara-nutritiva-renew-oil-250g-ybera-paris-150393?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/mascara-nutritiva-renew-oil-250g-ybera-paris-150393/336903.jpg
336928;Nature Squeeze;Acquafit;https://www.b2cstore.com.br/produto/nature-squeeze-acquafit-150414?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/nature-squeeze-acquafit-150414/336928-1.jpg
336878;Condicionador Nutrix Vello 250g;Ybera Paris;https://www.b2cstore.com.br/produto/condicionador-nutrix-vello-250g-ybera-paris-150368?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/condicionador-nutrix-vello-250g-ybera-paris-150368/336878.jpg
336931;Azul Tech Squeeze;Acquafit;https://www.b2cstore.com.br/produto/azul-tech-squeeze-acquafit-150417?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/azul-tech-squeeze-acquafit-150417/336931-1.jpg
336859;Shampoo Limpeza Vital Vello 250ml;Ybera Paris;https://www.b2cstore.com.br/produto/shampoo-limpeza-vital-vello-250ml-ybera-paris-150349?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/shampoo-limpeza-vital-vello-250ml-ybera-paris-150349/336859.jpg
336972;Sorvete Capilar - Sorveterapia de Morango 250g;Fashion Gold;https://www.b2cstore.com.br/produto/sorvete-capilar-sorveterapia-de-morango-250g-fashion-gold-150457?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/sorvete-capilar-sorveterapia-de-morango-250g-fashion-gold-150457/336972.jpg
336925;Hidratante Óleo Em Creme Jungle 260ml;Ybera Paris;https://www.b2cstore.com.br/produto/hidratante-oleo-em-creme-jungle-260ml-ybera-paris-150411?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/hidratante-oleo-em-creme-jungle-260ml-ybera-paris-150411/336925.jpg
336841;Membrana Termoprotetora Trehalose Life's Flower 150ml;Ybera Paris;https://www.b2cstore.com.br/produto/membrana-termoprotetora-trehalose-lifes-flower-150ml-ybera-paris-150331?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/membrana-termoprotetora-trehalose-lifes-flower-150ml-ybera-paris-150331/336841.jpg
336813;Kit Manutenção Vital Vello com Soro Vital Vello;Ybera Paris;https://www.b2cstore.com.br/produto/kit-manutencao-vital-vello-com-soro-vital-vello-ybera-paris-150303?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/kit-manutencao-vital-vello-com-soro-vital-vello-ybera-paris-150303/336813.jpg
336912;Creme Redutor de Celulites e Gordura Localizada Green Coffee 260ml;Ybera Paris;https://www.b2cstore.com.br/produto/creme-redutor-de-celulites-e-gordura-localizada-green-coffee-260ml-ybera-paris-150398?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/creme-redutor-de-celulites-e-gordura-localizada-green-coffee-260ml-ybera-paris-150398/336912.jpg
336876;Condicionador Luminoso Matizador Vertigo 250g;Ybera Paris;https://www.b2cstore.com.br/produto/condicionador-luminoso-matizador-vertigo-250g-ybera-paris-150366?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/condicionador-luminoso-matizador-vertigo-250g-ybera-paris-150366/336876.jpg
336855;Shampoo Hidratação Nutritiva Renew Oil 250ml;Ybera Paris;https://www.b2cstore.com.br/produto/shampoo-hidratacao-nutritiva-renew-oil-250ml-ybera-paris-150345?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/shampoo-hidratacao-nutritiva-renew-oil-250ml-ybera-paris-150345/336855.jpg
336880;Condicionador Perfeito Fashion Up 250g;Ybera Paris;https://www.b2cstore.com.br/produto/condicionador-perfeito-fashion-up-250g-ybera-paris-150370?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/condicionador-perfeito-fashion-up-250g-ybera-paris-150370/336880.jpg
336783;Green OX;Acquafit;https://www.b2cstore.com.br/produto/green-ox-acquafit-150273?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/green-ox-acquafit-150273/336783.jpg
336775;Creme de Quê? 150ml;Ybera Paris;https://www.b2cstore.com.br/produto/creme-de-que-150ml-ybera-paris-150265?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/creme-de-que-150ml-ybera-paris-150265/336775.jpg
336898;Máscara Brilho e Força Discovery Express 250g;Ybera Paris;https://www.b2cstore.com.br/produto/mascara-brilho-e-forca-discovery-express-250g-ybera-paris-150388?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/mascara-brilho-e-forca-discovery-express-250g-ybera-paris-150388/336898.jpg
336791;Kit Bronze - Bronzeador e Iluminador 250g/300g;Fashion Summer;https://www.b2cstore.com.br/produto/kit-bronze-bronzeador-e-iluminador-250g-300g-fashion-summer-150281?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/kit-bronze-bronzeador-e-iluminador-250g-300g-fashion-summer-150281/336791-1.jpg
336933;Branco Tropical Squeeze;Acquafit;https://www.b2cstore.com.br/produto/branco-tropical-squeeze-acquafit-150419?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/branco-tropical-squeeze-acquafit-150419/336933-1.jpg
336822;Chá Misto;Acquafit;https://www.b2cstore.com.br/produto/cha-misto-acquafit-150312?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/cha-misto-acquafit-150312/336822.jpg
336776;Cromofit 60 Capsulas;Acquafit;https://www.b2cstore.com.br/produto/cromofit-60-capsulas-acquafit-150266?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/cromofit-60-capsulas-acquafit-150266/336776.jpg
336881;Condicionador Proteção Diária Trehalose Life's Flower 250g;Ybera Paris;https://www.b2cstore.com.br/produto/condicionador-protecao-diaria-trehalose-lifes-flower-250g-ybera-paris-150371?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/condicionador-protecao-diaria-trehalose-lifes-flower-250g-ybera-paris-150371/336881.jpg
336862;Shampoo Matizador Vertigo 250ml;Ybera Paris;https://www.b2cstore.com.br/produto/shampoo-matizador-vertigo-250ml-ybera-paris-150352?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/shampoo-matizador-vertigo-250ml-ybera-paris-150352/336862.jpg
336812;Kit Manutenção Vital Vello 250ml/250g;Ybera Paris;https://www.b2cstore.com.br/produto/kit-manutencao-vital-vello-250ml-250g-ybera-paris-150302?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/kit-manutencao-vital-vello-250ml-250g-ybera-paris-150302/336812.jpg
336815;03 Unidades Active Shape 60 Capsulas;Acquafit;https://www.b2cstore.com.br/produto/03-unidades-active-shape-60-capsulas-acquafit-150305?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/03-unidades-active-shape-60-capsulas-acquafit-150305/336815.jpg
336970;Combo Sorvete Capilar; Morango e Baunilha 250g - Fashion Gold;
336810;Kit Manutenção Trehalose Life's Flower 250ml/250g/150g;Ybera Paris;https://www.b2cstore.com.br/produto/kit-manutencao-trehalose-lifes-flower-250ml-250g-150ml-ybera-paris-150300?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/kit-manutencao-trehalose-lifes-flower-250ml-250g-150ml-ybera-paris-150300/336810.jpg
336971;Sorvete Capilar - Sorveterapia de Baunilha 250g;Fashion Gold;https://www.b2cstore.com.br/produto/sorvete-capilar-sorveterapia-de-baunilha-250g-fashion-gold-150456?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/sorvete-capilar-sorveterapia-de-baunilha-250g-fashion-gold-150456/336971.jpg
336929;Branco Tech Squeeze;Acquafit;https://www.b2cstore.com.br/produto/branco-tech-squeeze-acquafit-150415?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/branco-tech-squeeze-acquafit-150415/336929-1.jpg
336877;Condicionador Manutenção Detox Healthy 250g;Ybera Paris;https://www.b2cstore.com.br/produto/condicionador-manutencao-detox-healthy-250g-ybera-paris-150367?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/condicionador-manutencao-detox-healthy-250g-ybera-paris-150367/336877.jpg
336875;Condicionador Hidratação Nutritiva Renew Oil 250g;Ybera Paris;https://www.b2cstore.com.br/produto/condicionador-hidratacao-nutritiva-renew-oil-250g-ybera-paris-150365?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/condicionador-hidratacao-nutritiva-renew-oil-250g-ybera-paris-150365/336875.jpg
336846;Perfume Sativa 100ml -Ybera Paris;Ybera Paris;https://www.b2cstore.com.br/produto/perfume-sativa-100ml-ybera-paris-150336?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/perfume-sativa-100ml-ybera-paris-150336/336846.jpg
336973;Sorvete Capilar - Sorveterapia de Chocolate 250g;Fashion Gold;https://www.b2cstore.com.br/produto/sorvete-capilar-sorveterapia-de-chocolate-250g-fashion-gold-150458?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/sorvete-capilar-sorveterapia-de-chocolate-250g-fashion-gold-150458/336973.jpg
336857;Shampoo Limpa e Cuida Discovery Express 250ml;Ybera Paris;https://www.b2cstore.com.br/produto/shampoo-limpa-e-cuida-discovery-express-250ml-ybera-paris-150347?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/shampoo-limpa-e-cuida-discovery-express-250ml-ybera-paris-150347/336857.jpg
336916;Gel de Banho Esfoliante Açaí e Guaraná 260ml;Ybera Paris;https://www.b2cstore.com.br/produto/gel-de-banho-esfoliante-acai-e-guarana-260ml-ybera-paris-150402?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/gel-de-banho-esfoliante-acai-e-guarana-260ml-ybera-paris-150402/336916.jpg
336792;Kit Dermocosméticos Açaí e Guaraná;Ybera Paris;https://www.b2cstore.com.br/produto/kit-dermocosmeticos-acai-e-guarana-ybera-paris-150282?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/kit-dermocosmeticos-acai-e-guarana-ybera-paris-150282/336792.jpg
336934;So White Squeeze;Acquafit;https://www.b2cstore.com.br/produto/so-white-squeeze-acquafit-150420?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/so-white-squeeze-acquafit-150420/336934-1.jpg
336842;Mousse Pré-Shampoo 170ml;Fashion Gold;https://www.b2cstore.com.br/produto/mousse-pre-shampoo-170ml-fashion-gold-150332?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/mousse-pre-shampoo-170ml-fashion-gold-150332/336842.jpg
336968;Combo 100Tímetros + Capsula;Antiqueda Capilar Fashion Gold;https://www.b2cstore.com.br/produto/combo-100timetros-capsula-antiqueda-capilar-fashion-gold-150453?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/combo-100timetros-capsula-antiqueda-capilar-fashion-gold-150453/336968.jpg
336918;Sabonete Líquido Corporal Grama Verde 260ml;Ybera Paris;https://www.b2cstore.com.br/produto/sabonete-liquido-corporal-grama-verde-260ml-ybera-paris-150404?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/sabonete-liquido-corporal-grama-verde-260ml-ybera-paris-150404/336918.jpg
336913;Redutor de papada Green Coffee 50g;Ybera Paris;https://www.b2cstore.com.br/produto/redutor-de-papada-green-coffee-50g-ybera-paris-150399?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/redutor-de-papada-green-coffee-50g-ybera-paris-150399/336913.jpg
